,Job_Title,Company,Location,Type,Work_Mode,Req_Experience,URL
0,Associate System Engineer “Associate Data Management Engineer,Target Integrated Systems -,"Cairo, Egypt",Full Time,On-site,· 0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/ubsrja3n94m1-associate-system-engineer-associate-data-management-engineer-target-integrated-systems-cairo-egypt
1,Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,On-site,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/3x6prdwpt2tz-senior-data-engineer-vertex-technologies-cairo-egypt
2,Data Center Facility Electrical/ Mechanical Engineer,GPX Egypt -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/39xm37penfcr-data-center-facility-electrical-mechanical-engineer-gpx-egypt-cairo-egypt
3,Data Engineer (Infrastructure & Operations),MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt",Full Time,On-site,· 5 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/mhqqwhx31ryd-data-engineer-infrastructure-operations-meahco-saudi-german-health-cairo-egypt
4,Sr. Data Engineer - Spark,Techsa -,"Cairo, Egypt",Full Time,On-site,· 7+ Yrs of Exp,https://wuzzuf.net/jobs/p/4w6f7tucldaf-sr-data-engineer-spark-techsa-cairo-egypt
5,Sr. Data Engineer - Flink,Techsa -,"Cairo, Egypt",Full Time,On-site,· 7+ Yrs of Exp,https://wuzzuf.net/jobs/p/kxuhb21u1pz5-sr-data-engineer-flink-techsa-cairo-egypt
6,Principal Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,On-site,· 6+ Yrs of Exp,https://wuzzuf.net/jobs/p/2hly9qsdamhe-principal-data-engineer-vertex-technologies-cairo-egypt
7,Production Planning Engineer,Badawy - BEECO -,"Cairo, Egypt",Full Time,On-site,· 3+ Yrs of Exp,https://wuzzuf.net/jobs/p/nebtxse2to5r-production-planning-engineer-badawy-beeco-cairo-egypt
8,Technical Support & Quality Engineer,Bouri Group -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 4 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/24a55ggjdiio-technical-support-quality-engineer-bouri-group-cairo-egypt
9,Planning Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",Full Time,On-site,· 1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/nqbt5abgv20b-planning-engineer-saudi-firmness-cairo-egypt
10,Industrial Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,· 7 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/pgfjoz30wrgh-industrial-engineer-sharqia-egypt
11,Senior Machine Learning Engineer,TechJump -,"Alexandria, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/etxcwinbdjs4-senior-machine-learning-engineer-techjump-alexandria-egypt
12,Facility Management Performance & Quality Engineer,Lasirena Group -,"Maadi, Cairo, Egypt",Full Time,On-site,· 7 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/6bjjkccradum-facility-management-performance-quality-engineer-lasirena-group-cairo-egypt
13,Project Quality Engineer,ICPM -,"Sahel, Cairo, Egypt",Full Time,On-site,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/ihtdsvgl3sxh-project-quality-engineer-icpm-cairo-egypt
14,SAP Master Data Administrator,Amreyah Cement -,"Nasr City, Cairo, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/tre5cqqrxiqf-sap-master-data-administrator-amreyah-cement-cairo-egypt
15,Sales Engineer,Onspec Engineering and Contracting -,"Cairo, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/iqwa14gfeell-sales-engineer-onspec-tawakol-engineering-contracting-cairo-egypt
